CD_MAKE_VEH,CD_MODEL_VEH,CD_CLR_BDY_VEH_P,NB_YEAR_MFC_VEH,TOTAL
B M W ,IX2 30,GRN,2026,1
B M W ,IX2 30,GRY,2025,1
B M W ,IX2 30,GRY,2026,1
B M W ,IX2 30,WHI,2026,1
B M W ,IX2 ED,BLK,2025,1
B M W ,IX2 ED,GRN,2026,1
B M W ,IX2 XD,WHI,2025,1
B M W ,IXL   ,WHI,2026,1
B M W ,K 1600,BLK,2026,1
B M W ,M 1000,BLK,2026,4
B M W ,M 1000,SIL,2025,1
B M W ,M 1000,SIL,2026,2
B M W ,M 1000,WHI,2026,4
B M W ,M1000 ,WHI,2026,1
B M W ,M1000R,WHI,2026,1
B M W ,M135  ,BLK,2025,1
B M W ,M135  ,BLK,2026,1
B M W ,M135  ,GRY,2025,2
B M W ,M135  ,WHI,2025,1
B M W ,M135I ,GRY,2025,1
B M W ,M2    ,BLU,2025,1
B M W ,M2    ,BLU,2026,2
B M W ,M2    ,GRN,2026,1
B M W ,M2    ,GRY,2026,5
B M W ,M2 COU,GRN,2026,1
B M W ,M2 COU,GRY,2026,1
B M W ,M2 CS ,BLK,2026,1
B M W ,M2 CS ,BLU,2026,1
B M W ,M235  ,BLK,2025,1
B M W ,M235  ,RED,2025,1
B M W ,M240I ,BLK,2026,2
B M W ,M240I ,GRY,2026,2
B M W ,M240I ,RED,2026,1
B M W ,M240I ,WHI,2026,2
B M W ,M3    ,BLK,2026,2
B M W ,M3    ,GRY,2025,1
B M W ,M3    ,GRY,2026,3
B M W ,M3 COM,BLU,2026,1
B M W ,M3 COM,GRN,2026,1
B M W ,M3 COM,GRY,2025,2
B M W ,M3 COM,GRY,2026,4
B M W ,M3 COM,OGE,2026,1
B M W ,M3 COM,WHI,2025,1
B M W ,M3 COM,WHI,2026,2
B M W ,M3 CS ,BLU,2025,1
B M W ,M340I ,BLK,2026,2
B M W ,M340I ,BLU,2026,1
B M W ,M340I ,GRY,2026,6
B M W ,M340I ,WHI,2026,3
B M W ,M4    ,BLU,2026,1
B M W ,M4 COM,WHI,2025,1
B M W ,M440I ,BLU,2025,1
B M W ,M440I ,BLU,2026,1
B M W ,M440I ,RED,2026,1
B M W ,M5    ,GRN,2026,1
B M W ,M5    ,OGE,2026,1
B M W ,M5 TOU,GRY,2025,1
B M W ,M8    ,BLU,2025,1
B M W ,M850I ,BLU,2025,1
B M W ,R 12 G,BLK,2026,2
B M W ,R 12 G,WHI,2026,1
B M W ,R 12 N,BLU,2026,1
B M W ,R 1300,BLK,2026,12
B M W ,R 1300,BLU,2026,8
B M W ,R 1300,GRN,2026,1
B M W ,R 1300,RED,2026,1
B M W ,R 1300,WHI,2026,3
B M W ,R12 NI,OGE,2026,1
B M W ,R12 NI,SIL,2026,1
B M W ,R1300 ,BLK,2026,2
B M W ,R1300 ,BLU,2026,2
B M W ,R1300 ,GRY,2026,1
B M W ,R1300G,BLK,2026,1
B M W ,R1300G,BLU,2026,1
B M W ,S 1000,BLK,2026,6
B M W ,S 1000,BLU,2026,9
B M W ,S 1000,SIL,2026,1
B M W ,S 1000,WHI,2026,3
B M W ,S1000 ,BLU,2026,2
B M W ,S1000R,SIL,2026,1
B M W ,X1    ,BLK,2025,6
B M W ,X1    ,BLK,2026,9
B M W ,X1    ,BLU,2025,2
B M W ,X1    ,BLU,2026,4
B M W ,X1    ,GRN,2025,1
B M W ,X1    ,GRN,2026,7
B M W ,X1    ,GRY,2025,2
B M W ,X1    ,GRY,2026,3
B M W ,X1    ,SIL,2025,1
B M W ,X1    ,SIL,2026,5
B M W ,X1    ,WHI,2025,8
B M W ,X1    ,WHI,2026,12
B M W ,X1 18I,BLK,2025,2
B M W ,X1 18I,BLK,2026,2
B M W ,X1 18I,GRN,2026,1
B M W ,X1 18I,WHI,2025,1
B M W ,X1 20I,BLK,2026,1
B M W ,X1 20I,BLU,2025,1
B M W ,X1 20I,GRN,2025,1
B M W ,X1 20I,GRY,2025,1
B M W ,X1 20I,SIL,2025,2
B M W ,X1 20I,SIL,2026,1
B M W ,X1 20I,WHI,2025,2
B M W ,X1 20I,WHI,2026,5
B M W ,X1 M35,RED,2026,1
B M W ,X1 SDR,WHI,2025,1
B M W ,X1 XDR,BLU,2026,1
B M W ,X1 XDR,WHI,2026,1
B M W ,X2    ,BLK,2025,3
B M W ,X2    ,BLK,2026,3
B M W ,X2    ,BLU,2025,1
B M W ,X2    ,GRY,2025,8
B M W ,X2    ,GRY,2026,1
B M W ,X2    ,WHI,2025,1
B M W ,X2    ,WHI,2026,2
B M W ,X2 20I,WHI,2025,1
B M W ,X2 M35,GRY,2025,1
B M W ,X2 M35,GRY,2026,2
B M W ,X3    ,BEI,2025,4
B M W ,X3    ,BEI,2026,1
B M W ,X3    ,BLK,2025,9
B M W ,X3    ,BLK,2026,13
B M W ,X3    ,BLU,2025,6
B M W ,X3    ,BLU,2026,9
B M W ,X3    ,GLD,2026,1
B M W ,X3    ,GRY,2025,13
B M W ,X3    ,GRY,2026,14
B M W ,X3    ,RED,2025,2
B M W ,X3    ,WHI,2025,13
B M W ,X3    ,WHI,2026,11
B M W ,X3 20 ,BLK,2026,3
B M W ,X3 20 ,BLU,2025,2
B M W ,X3 20 ,BLU,2026,1
B M W ,X3 20 ,GRY,2025,2
B M W ,X3 20 ,GRY,2026,4
B M W ,X3 20 ,WHI,2025,2
B M W ,X3 20 ,WHI,2026,1
B M W ,X3 20X,WHI,2025,1
B M W ,X3 30E,BLK,2025,2
B M W ,X3 30E,BLK,2026,3
B M W ,X3 30E,BLU,2025,1
B M W ,X3 30E,BLU,2026,3
B M W ,X3 30E,GRY,2025,10
B M W ,X3 30E,GRY,2026,8
B M W ,X3 30E,WHI,2025,7
B M W ,X3 30E,WHI,2026,2
B M W ,X3 40D,GRY,2026,3
B M W ,X3 40D,WHI,2026,2
B M W ,X3 M50,BLK,2025,1
B M W ,X3 M50,BLK,2026,2
B M W ,X3 M50,BLU,2025,1
B M W ,X3 M50,BLU,2026,2
B M W ,X3 M50,GRY,2025,1
B M W ,X3 M50,WHI,2025,2
B M W ,X3 M50,WHI,2026,2
B M W ,X4    ,BLK,2025,2
B M W ,X4    ,GRY,2026,1
B M W ,X4    ,WHI,2025,1
B M W ,X4    ,WHI,2026,2
B M W ,X4 30I,GRY,2025,1
B M W ,X5    ,BLK,2025,2
B M W ,X5    ,BLK,2026,5
B M W ,X5    ,BLU,2025,5
B M W ,X5    ,BLU,2026,1
B M W ,X5    ,GRN,2025,2
