CD_MAKE_VEH,CD_MODEL_VEH,CD_CLR_BDY_VEH_P,NB_YEAR_MFC_VEH,TOTAL,CLEAN_MAKE_VEH
B M W ,M440I ,BLU,2025,1,BMW
B M W ,M440I ,BLU,2026,1,BMW
B M W ,M440I ,RED,2026,1,BMW
B M W ,M5    ,GRN,2026,1,BMW
B M W ,M5    ,OGE,2026,1,BMW
B M W ,M5 TOU,GRY,2025,1,BMW
B M W ,M8    ,BLU,2025,1,BMW
B M W ,M850I ,BLU,2025,1,BMW
B M W ,R 12 G,BLK,2026,2,BMW
B M W ,R 12 G,WHI,2026,1,BMW
B M W ,R 12 N,BLU,2026,1,BMW
B M W ,R 1300,BLK,2026,12,BMW
B M W ,R 1300,BLU,2026,8,BMW
B M W ,R 1300,GRN,2026,1,BMW
B M W ,R 1300,RED,2026,1,BMW
B M W ,R 1300,WHI,2026,3,BMW
B M W ,R12 NI,OGE,2026,1,BMW
B M W ,R12 NI,SIL,2026,1,BMW
B M W ,R1300 ,BLK,2026,2,BMW
B M W ,R1300 ,BLU,2026,2,BMW
B M W ,R1300 ,GRY,2026,1,BMW
B M W ,R1300G,BLK,2026,1,BMW
B M W ,R1300G,BLU,2026,1,BMW
B M W ,S 1000,BLK,2026,6,BMW
B M W ,S 1000,BLU,2026,9,BMW
B M W ,S 1000,SIL,2026,1,BMW
B M W ,S 1000,WHI,2026,3,BMW
B M W ,S1000 ,BLU,2026,2,BMW
B M W ,S1000R,SIL,2026,1,BMW
B M W ,X1    ,BLK,2025,6,BMW
B M W ,X1    ,BLK,2026,9,BMW
B M W ,X1    ,BLU,2025,2,BMW
B M W ,X1    ,BLU,2026,4,BMW
B M W ,X1    ,GRN,2025,1,BMW
B M W ,X1    ,GRN,2026,7,BMW
B M W ,X1    ,GRY,2025,2,BMW
B M W ,X1    ,GRY,2026,3,BMW
B M W ,X1    ,SIL,2025,1,BMW
B M W ,X1    ,SIL,2026,5,BMW
B M W ,X1    ,WHI,2025,8,BMW
B M W ,X1    ,WHI,2026,12,BMW
B M W ,X1 18I,BLK,2025,2,BMW
B M W ,X1 18I,BLK,2026,2,BMW
B M W ,X1 18I,GRN,2026,1,BMW
B M W ,X1 18I,WHI,2025,1,BMW
B M W ,X1 20I,BLK,2026,1,BMW
B M W ,X1 20I,BLU,2025,1,BMW
B M W ,X1 20I,GRN,2025,1,BMW
B M W ,X1 20I,GRY,2025,1,BMW
B M W ,X1 20I,SIL,2025,2,BMW
B M W ,X1 20I,SIL,2026,1,BMW
B M W ,X1 20I,WHI,2025,2,BMW
B M W ,X1 20I,WHI,2026,5,BMW
B M W ,X1 M35,RED,2026,1,BMW
B M W ,X1 SDR,WHI,2025,1,BMW
B M W ,X1 XDR,BLU,2026,1,BMW
B M W ,X1 XDR,WHI,2026,1,BMW
